Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Brain Damage","Cover","Pink Floyd",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Break Stuff","Cover","Limp Bizkit",1,"05/17/2025","Blue Point Brewery","Patchogue","05/17/2025","Blue Point Brewery","Patchogue",1,49,"Bust Out",0,0,0,1,1
"Cayman Review","Cover","Trey Anastasio",1,"05/20/2023","Blue Point Brewery","Patchogue","05/20/2023","Blue Point Brewery","Patchogue",1,119,"Monster Gap",0,0,0,1,1
"Cha Cha Slide","Cover","DJ Casper",1,"05/17/2024","People's Pub","Bayport","05/17/2024","People's Pub","Bayport",1,84,"Monster Gap",0,0,0,1,1
"Cocaine","Cover","J.J. Cale",1,"02/29/2024","Birdies","Patchogue","02/29/2024","Birdies","Patchogue",1,91,"Monster Gap",0,0,0,1,1
"Colorado Town","Original","",1,"06/27/2026","Arrowhead Ranch","Parksville","06/27/2026","Arrowhead Ranch","Parksville",1,8,"Regular",0,0,0,1,1
"Come Together","Cover","The Beatles",1,"01/18/2025","Mr. Beery's","Bethpage","01/18/2025","Mr. Beery's","Bethpage",1,56,"Monster Gap",0,0,0,1,1
"Comfortably Numb","Cover","Pink Floyd",1,"08/15/2026","Hallockville","Riverhead","08/15/2026","Hallockville","Riverhead",1,3,"Regular",0,0,0,1,1
"Cortez the Killer","Cover","Neil Young & Crazy Horse",1,"02/13/2026","Blue Point Brewery","Patchogue","02/13/2026","Blue Point Brewery","Patchogue",1,20,"Regular",0,0,0,1,1
"Cracklin' Rosie","Original","",1,"06/03/2025","Blue Point Brewery","Patchogue","06/03/2025","Blue Point Brewery","Patchogue",1,47,"Bust Out",0,0,0,1,1
"Dark Star jam","Original","",1,"02/13/2026","Blue Point Brewery","Patchogue","02/13/2026","Blue Point Brewery","Patchogue",1,20,"Regular",0,0,0,1,1
"Dreams jam","Original","",1,"11/25/2023","Industry Lounge & Gallery","Huntington","11/25/2023","Industry Lounge & Gallery","Huntington",1,100,"Monster Gap",0,0,0,1,1
"Drift While You're Sleeping ending","Original","",1,"03/09/2024","Blue Point Brewery","Patchogue","03/09/2024","Blue Point Brewery","Patchogue",1,90,"Monster Gap",0,0,0,1,1
"Eclipse","Cover","Pink Floyd",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Eminence Front","Cover","The Who",1,"12/27/2023","Sayville Theater","Sayville","12/27/2023","Sayville Theater","Sayville",1,97,"Monster Gap",0,0,0,1,1
"Exodus","Cover","Bob Marley & The Wailers",1,"05/08/2026","Blue Point Brewery","Patchogue","05/08/2026","Blue Point Brewery","Patchogue",1,11,"Regular",0,0,0,1,1
"Farmhouse","Cover","Phish",1,"09/07/2024","H.O.G. Farm","Brookhaven","09/07/2024","H.O.G. Farm","Brookhaven",1,67,"Monster Gap",0,0,0,1,1
"Fearless","Cover","Pink Floyd",1,"04/12/2023","Blue Point Brewery","Patchogue","04/12/2023","Blue Point Brewery","Patchogue",1,122,"Monster Gap",0,0,0,1,1
"Feel Free Reprise","Original","",1,"12/27/2025","Sayville Theater","Sayville","12/27/2025","Sayville Theater","Sayville",1,25,"Bust Out",0,0,0,1,1
"Find the Cost of Freedom","Cover","Crosby, Stills, Nash & Young",1,"02/27/2026","People's Pub","Bayport","02/27/2026","People's Pub","Bayport",1,19,"Regular",0,0,0,1,1
"Get Down Reprise","Original","",1,"12/31/2022","Beau’s Bar","Greenlawn","12/31/2022","Beau’s Bar","Greenlawn",1,131,"Monster Gap",0,0,0,1,1
"Going Up the Country","Cover","Canned Heat",1,"06/27/2024","Stella Blues","New Haven","06/27/2024","Stella Blues","New Haven",1,79,"Monster Gap",0,0,0,1,1
"Golden Age jam","Original","",1,"02/02/2024","Long Island Glass","Holtsville","02/02/2024","Long Island Glass","Holtsville",1,94,"Monster Gap",0,0,0,1,1
"Golf Jam","Original","",1,"05/08/2026","Blue Point Brewery","Patchogue","05/08/2026","Blue Point Brewery","Patchogue",1,11,"Regular",0,0,0,1,1
"Good Luck, Babe!","Cover","Chappell Roan",1,"12/31/2024","Blue Point Brewery","Patchogue","12/31/2024","Blue Point Brewery","Patchogue",1,57,"Monster Gap",0,0,0,1,1
"Here Comes The Hotstepper","Original","",1,"04/20/2023","Blue Point Brewery","Patchogue","04/20/2023","Blue Point Brewery","Patchogue",1,121,"Monster Gap",0,0,0,1,1
"Hey Joe","Cover","The Leaves",1,"10/28/2023","Beau’s Bar","Greenlawn","10/28/2023","Beau’s Bar","Greenlawn",1,103,"Monster Gap",0,0,0,1,1
"I Got You Babe","Cover","Sonny & Cher",1,"02/02/2024","Long Island Glass","Holtsville","02/02/2024","Long Island Glass","Holtsville",1,94,"Monster Gap",0,0,0,1,1
"Keep On Growing","Cover","Derek and the Dominos",1,"01/27/2023","Blue Point Brewery","Patchogue","01/27/2023","Blue Point Brewery","Patchogue",1,129,"Monster Gap",0,0,0,1,1
"Knockin' on Heaven's Door","Cover","Bob Dylan",1,"04/05/2023","Blue Point Brewery","Patchogue","04/05/2023","Blue Point Brewery","Patchogue",1,123,"Monster Gap",0,0,0,1,1
"La Grange","Cover","ZZ Top",1,"11/30/2024","Industry Lounge & Gallery","Huntington","11/30/2024","Industry Lounge & Gallery","Huntington",1,60,"Monster Gap",0,0,0,1,1
"Lady (Hear Me Tonight)","Cover","Modjo",1,"12/31/2024","Blue Point Brewery","Patchogue","12/31/2024","Blue Point Brewery","Patchogue",1,57,"Monster Gap",0,0,0,1,1
"Layla","Cover","Derek and the Dominos",1,"03/29/2023","Blue Point Brewery","Patchogue","03/29/2023","Blue Point Brewery","Patchogue",1,125,"Monster Gap",0,0,0,1,1
"Levon","Cover","Elton John",1,"04/16/2025","Blue Point Brewery","Patchogue","04/16/2025","Blue Point Brewery","Patchogue",1,50,"Monster Gap",0,0,0,1,1
"Life During Wartime","Cover","Talking Heads",1,"05/08/2026","Blue Point Brewery","Patchogue","05/08/2026","Blue Point Brewery","Patchogue",1,11,"Regular",0,0,0,1,1
"Melissa","Cover","The Allman Brothers Band",1,"03/29/2023","Blue Point Brewery","Patchogue","03/29/2023","Blue Point Brewery","Patchogue",1,125,"Monster Gap",0,0,0,1,1
"Mellow Mood","Cover","Bob Marley & The Wailers",1,"04/12/2023","Blue Point Brewery","Patchogue","04/12/2023","Blue Point Brewery","Patchogue",1,122,"Monster Gap",0,0,0,1,1
"Midnight Moonlight","Cover","Old & In the Way",1,"03/29/2023","Blue Point Brewery","Patchogue","03/29/2023","Blue Point Brewery","Patchogue",1,125,"Monster Gap",0,0,0,1,1
"No One Left To Run With jam","Original","",1,"10/22/2023","Jamesport Farm Brewery","Riverhead","10/22/2023","Jamesport Farm Brewery","Riverhead",1,104,"Monster Gap",0,0,0,1,1
"Oh! Sweet Nuthin'","Cover","The Velvet Underground",1,"11/25/2023","Industry Lounge & Gallery","Huntington","11/25/2023","Industry Lounge & Gallery","Huntington",1,100,"Monster Gap",0,0,0,1,1
"One More Saturday Night","Cover","Bob Weir",1,"06/05/2023","89 North","Patchogue","06/05/2023","89 North","Patchogue",1,118,"Monster Gap",0,0,0,1,1
"Pac-Man Theme (Remix)","Original","",1,"10/31/2023","Blue Point Brewery","Patchogue","10/31/2023","Blue Point Brewery","Patchogue",1,102,"Monster Gap",0,0,0,1,1
"Primass","Original","",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Primass (A Brief Reprise)","Original","",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Psycho Killer","Cover","Talking Heads",1,"01/27/2023","Blue Point Brewery","Patchogue","01/27/2023","Blue Point Brewery","Patchogue",1,129,"Monster Gap",0,0,0,1,1
"PYITE jam","Original","",1,"12/27/2025","Sayville Theater","Sayville","12/27/2025","Sayville Theater","Sayville",1,25,"Bust Out",0,0,0,1,1
"Rapper's Delight","Cover","The Sugarhill Gang",1,"10/22/2024","Blue Point Brewery","Patchogue","10/22/2024","Blue Point Brewery","Patchogue",1,63,"Monster Gap",0,0,0,1,1
"Riders on the Storm jam","Original","",1,"10/28/2023","Beau’s Bar","Greenlawn","10/28/2023","Beau’s Bar","Greenlawn",1,103,"Monster Gap",0,0,0,1,1
"Rock and Roll","Cover","Led Zeppelin",1,"02/27/2026","People's Pub","Bayport","02/27/2026","People's Pub","Bayport",1,19,"Regular",0,0,0,1,1
"Runnin' Down a Dream","Cover","Tom Petty",1,"09/13/2025","Blue Point Brewery","Patchogue","09/13/2025","Blue Point Brewery","Patchogue",1,32,"Bust Out",0,0,0,1,1
"Secret Jam","Original","",1,"06/27/2026","Arrowhead Ranch","Parksville","06/27/2026","Arrowhead Ranch","Parksville",1,8,"Regular",0,0,0,1,1
"Simple jam","Original","",1,"03/28/2025","Beau’s Bar","Greenlawn","03/28/2025","Beau’s Bar","Greenlawn",1,51,"Monster Gap",0,0,0,1,1
"Space/Jam","Original","",1,"08/26/2024","89 North","Patchogue","08/26/2024","89 North","Patchogue",1,71,"Monster Gap",0,0,0,1,1
"Speak To Me","Original","",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Star Wars (Main Theme)","Original","",1,"05/04/2024","Thatch Meadow Farm","Saint James","05/04/2024","Thatch Meadow Farm","Saint James",1,87,"Monster Gap",0,0,0,1,1
"Sunshine Daydream","Cover","Grateful Dead",1,"10/22/2023","Jamesport Farm Brewery","Riverhead","10/22/2023","Jamesport Farm Brewery","Riverhead",1,104,"Monster Gap",0,0,0,1,1
"Sunshine of Your Love","Cover","Cream",1,"07/20/2025","Blue Point Brewery","Patchogue","07/20/2025","Blue Point Brewery","Patchogue",1,40,"Bust Out",0,0,0,1,1
"Terrapin Station","Cover","Grateful Dead",1,"04/12/2023","Blue Point Brewery","Patchogue","04/12/2023","Blue Point Brewery","Patchogue",1,122,"Monster Gap",0,0,0,1,1
"Thank You (Falettinme Be Mice Elf Agin)","Cover","Sly & the Family Stone",1,"06/28/2026","Arrowhead Ranch","Parksville","06/28/2026","Arrowhead Ranch","Parksville",1,7,"Regular",0,0,0,1,1
"The Other One","Cover","Grateful Dead",1,"06/05/2023","89 North","Patchogue","06/05/2023","89 North","Patchogue",1,118,"Monster Gap",0,0,0,1,1
"The Weight","Cover","The Band",1,"10/20/2023","89 North","Patchogue","10/20/2023","89 North","Patchogue",1,105,"Monster Gap",0,0,0,1,1
"The Wheel","Cover","Jerry Garcia",1,"05/08/2026","Blue Point Brewery","Patchogue","05/08/2026","Blue Point Brewery","Patchogue",1,11,"Regular",0,0,0,1,1
"Tio Roberto","Original","",1,"02/18/2024","89 North","Patchogue","02/18/2024","89 North","Patchogue",1,92,"Monster Gap",0,0,0,1,1
"ToddJam","Original","",1,"06/29/2025","Arrowhead Ranch","Parksville","06/29/2025","Arrowhead Ranch","Parksville",1,44,"Bust Out",0,0,0,1,1
"Tweezer","Cover","Phish",1,"07/11/2026","The Lemon Squeeze","New Paltz","07/11/2026","The Lemon Squeeze","New Paltz",1,5,"Regular",0,0,0,1,1
"Tweezer Reprise","Cover","Phish",1,"02/18/2024","89 North","Patchogue","02/18/2024","89 North","Patchogue",1,92,"Monster Gap",0,0,0,1,1
"Twist jam","Original","",1,"09/07/2024","H.O.G. Farm","Brookhaven","09/07/2024","H.O.G. Farm","Brookhaven",1,67,"Monster Gap",0,0,0,1,1
"Uncle Rob (ReReprise)","Original","",1,"01/27/2024","Blue Point Brewery","Patchogue","01/27/2024","Blue Point Brewery","Patchogue",1,95,"Monster Gap",0,0,0,1,1
"Uncle Todd","Original","",1,"06/22/2024","Arrowhead Ranch","Parksville","06/22/2024","Arrowhead Ranch","Parksville",1,80,"Monster Gap",0,0,0,1,1
"Viola Lee Blues","Original","",1,"10/31/2023","Blue Point Brewery","Patchogue","10/31/2023","Blue Point Brewery","Patchogue",1,102,"Monster Gap",0,0,0,1,1
"WakaWOW Pre-prise","Original","",1,"03/11/2023","89 North","Patchogue","03/11/2023","89 North","Patchogue",1,126,"Monster Gap",0,0,0,1,1
"War Pigs","Cover","Black Sabbath",1,"06/28/2025","Arrowhead Ranch","Parksville","06/28/2025","Arrowhead Ranch","Parksville",1,45,"Bust Out",0,0,0,1,1
"Waste","Cover","Phish",1,"04/12/2023","Blue Point Brewery","Patchogue","04/12/2023","Blue Point Brewery","Patchogue",1,122,"Monster Gap",0,0,0,1,1
"West L.A. Fakeout","Original","",1,"02/21/2025","The Hollow Bar","Albany","02/21/2025","The Hollow Bar","Albany",1,53,"Monster Gap",0,0,0,1,1
"Wheel Spin","Original","",1,"07/20/2025","Blue Point Brewery","Patchogue","07/20/2025","Blue Point Brewery","Patchogue",1,40,"Bust Out",0,0,0,1,1
"When the Circus Comes","Cover","Los Lobos",1,"05/17/2024","People's Pub","Bayport","05/17/2024","People's Pub","Bayport",1,84,"Monster Gap",0,0,0,1,1
"Whole Ocean Jam","Original","",1,"08/24/2024","Beau’s Bar","Greenlawn","08/24/2024","Beau’s Bar","Greenlawn",1,72,"Monster Gap",0,0,0,1,1
"Wind Jam","Original","",1,"09/15/2023","Blue Point Brewery","Patchogue","09/15/2023","Blue Point Brewery","Patchogue",1,108,"Monster Gap",0,0,0,1,1
"Wine Way Out","Original","",1,"02/29/2024","Birdies","Patchogue","02/29/2024","Birdies","Patchogue",1,91,"Monster Gap",0,0,0,1,1
"Wipe Out","Cover","The Surfaris",1,"06/27/2024","Stella Blues","New Haven","06/27/2024","Stella Blues","New Haven",1,79,"Monster Gap",0,0,0,1,1
"Wipeout","Original","",1,"10/02/2023","Beach Club Estate","Lake Ronkonkoma","10/02/2023","Beach Club Estate","Lake Ronkonkoma",1,106,"Monster Gap",0,0,0,1,1
"Yahoos & Triangles","Cover","The Refreshments",1,"11/22/2023","Bobbique","Patchogue","11/22/2023","Bobbique","Patchogue",1,101,"Monster Gap",0,0,0,1,1
"Yet Another Jam","Original","",1,"09/06/2024","89 North","Patchogue","09/06/2024","89 North","Patchogue",1,68,"Monster Gap",0,0,0,1,1
"You Really Got Me","Cover","The Kinks",1,"10/22/2024","Blue Point Brewery","Patchogue","10/22/2024","Blue Point Brewery","Patchogue",1,63,"Monster Gap",0,0,0,1,1
