Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Bertha","Cover","Grateful Dead",16,"03/29/2023","Blue Point Brewery","Patchogue","08/29/2025","Blue Point Brewery","Patchogue",16,34,"Bust Out",1,5.1,16,7,5
"Heighty Hi","Cover","Lee Michaels",16,"01/15/2023","The Warehouse","Amityville","10/21/2025","Blue Point Brewery","Patchogue",16,29,"Bust Out",12,5.7,12,9,8
"Tangled Up in Blue","Cover","Bob Dylan",16,"01/27/2023","Blue Point Brewery","Patchogue","09/29/2025","89 North","Patchogue",16,31,"Bust Out",1,5.5,24,13,12
"Harvest Moon","Cover","Neil Young",15,"12/31/2022","Beau’s Bar","Greenlawn","01/18/2026","89 North","Patchogue",15,21,"Regular",9,6.9,16,9,8
"Jack Straw","Cover","Grateful Dead",15,"01/27/2023","Blue Point Brewery","Patchogue","03/02/2026","89 North","Patchogue",15,18,"Regular",7,6.9,16,6,4
"Long Train Runnin'","Cover","The Doobie Brothers",15,"05/20/2023","Blue Point Brewery","Patchogue","04/19/2026","The Warehouse","Amityville",15,13,"Regular",10,6.6,26,12,10
"Promontory Rider","Cover","Robert Hunter",15,"01/15/2023","The Warehouse","Amityville","05/23/2026","Pat Cav's Backyard","Sayville",15,10,"Regular",0,7.6,26,8,7
"Who's Ernie?","Original","",15,"01/27/2023","Blue Point Brewery","Patchogue","06/20/2026","Thatch Meadow Farm","Saint James",15,9,"Regular",0,7.6,25,11,9
"Drums","Original","",14,"04/12/2023","Blue Point Brewery","Patchogue","07/11/2026","The Lemon Squeeze","New Paltz",14,5,"Regular",6,8,29,7,6
"Qué Lástima","Original","",14,"07/19/2025","Blue Point Brewery","Patchogue","08/28/2026","Nietzsche's","Buffalo",14,2,"Regular",0,2,6,9,7
"The Shape I'm In","Cover","The Band",14,"12/31/2022","Beau’s Bar","Greenlawn","04/09/2026","89 North","Patchogue",14,15,"Regular",33,7.9,33,9,7
"Young Lust","Cover","Pink Floyd",14,"12/31/2022","Beau’s Bar","Greenlawn","07/11/2026","The Lemon Squeeze","New Paltz",14,5,"Regular",22,8.7,22,10,10
"Also sprach Zarathustra, op. 30","Cover","Richard Strauss",13,"03/10/2023","Industry Lounge & Gallery","Huntington","08/29/2026","Slidin Dirty","Troy",13,1,"Regular",15,9.5,25,11,9
"Everybody","Original","",13,"04/28/2024","Port Jeff Brewing Company","Port Jefferson","08/14/2025","Downtown","Patchogue",13,35,"Bust Out",10,3.4,10,9,6
"I Know You Rider","Cover","[traditional]",13,"12/31/2022","Beau’s Bar","Greenlawn","03/02/2026","89 North","Patchogue",13,18,"Regular",14,8.4,31,6,5
"Mountain Jam","Cover","The Allman Brothers Band",13,"12/31/2022","Beau’s Bar","Greenlawn","06/29/2025","Arrowhead Ranch","Parksville",13,44,"Bust Out",27,6.3,27,10,9
"A Thousand Faces","Original","",12,"12/27/2023","Sayville Theater","Sayville","05/23/2026","Pat Cav's Backyard","Sayville",12,10,"Regular",37,6.9,37,9,7
"Happy Birthday","Original","",12,"04/01/2023","Beau’s Bar","Greenlawn","01/18/2026","89 North","Patchogue",12,21,"Regular",16,8.4,17,6,5
"Lonely Star","Original","",12,"12/31/2024","Blue Point Brewery","Patchogue","08/29/2026","Slidin Dirty","Troy",12,1,"Regular",6,4.1,9,6,5
"You Sexy Thing","Cover","Hot Chocolate",12,"11/25/2023","Industry Lounge & Gallery","Huntington","02/27/2026","People's Pub","Bayport",12,19,"Regular",8,6.4,14,8,6
"Every 1's a Winner","Cover","Hot Chocolate",11,"01/27/2024","Blue Point Brewery","Patchogue","03/13/2026","Blue Point Brewery","Patchogue",11,17,"Regular",2,6.8,26,8,7
"Uncle Rob","Original","",11,"12/01/2023","Blue Point Brewery","Patchogue","02/13/2026","Blue Point Brewery","Patchogue",11,20,"Regular",9,6.9,26,6,6
"Angel From Montgomery","Cover","John Prine",10,"01/27/2023","Blue Point Brewery","Patchogue","04/10/2026","Blue Point Brewery","Patchogue",10,14,"Regular",3,11.8,29,6,5
"Breathe (In the Air)","Cover","Pink Floyd",10,"12/31/2022","Beau’s Bar","Greenlawn","08/15/2026","Hallockville","Riverhead",10,3,"Regular",19,13.2,40,9,9
"Champagne Supernova","Cover","Oasis",10,"03/29/2023","Blue Point Brewery","Patchogue","07/11/2026","The Lemon Squeeze","New Paltz",10,5,"Regular",20,12.3,24,3,2
"Drivin' My Life Away","Cover","Eddie Rabbitt",10,"01/27/2023","Blue Point Brewery","Patchogue","08/29/2026","Slidin Dirty","Troy",10,1,"Regular",20,13.2,24,8,7
"Meatstick","Cover","Phish",10,"01/15/2023","The Warehouse","Amityville","06/28/2026","Arrowhead Ranch","Parksville",10,7,"Regular",13,12.7,21,6,4
